13:38:42:  新建文本文档.exe - 快捷方式
13:38:52:  K64-_0000_20210113112826.log - DRB.tat* - TextAnalysisTool.NET
13:39:02:  E:\深圳出差\gfgd\Applications\CanComm\CashBoxComm\CashBoxComm.c (gfgd) - Sublime Text (UNREGISTERED)
13:39:07:  CRS调测工具（研发版）V1.0.2.1
13:43:47:  取款
13:43:52:  删除多个项目
13:43:57:  取款
13:44:02:  CRS调测工具（研发版）V1.0.2.1
13:44:22:  20210113
13:44:27:  Decode
13:44:32:  K64_0000_20210113134358.log - DRB.tat* - TextAnalysisTool.NET
13:44:47:  Decode
13:44:52:  K64_0000_20210113134358
13:44:57:  K64-_0000_20210113134358.log - DRB.tat* - TextAnalysisTool.NET
13:44:22:  20210113
13:44:27:  Decode
13:44:32:  K64_0000_20210113134358.log - DRB.tat* - TextAnalysisTool.NET
13:44:47:  Decode
13:44:52:  K64_0000_20210113134358
13:44:57:  K64-_0000_20210113134358.log - DRB.tat* - TextAnalysisTool.NET
13:50:02:  CRS调测工具（研发版）V1.0.2.1
13:53:22:  取款
13:53:32:  CRS调测工具（研发版）V1.0.2.1
13:53:47:  20210113
13:54:22:  Decode
13:54:27:  Box_3__0000_20210113135330.log - DRB.tat* - TextAnalysisTool.NET
13:54:42:  K64_0000_20210113135330
13:54:47:  20210113
13:54:57:  CRS调测工具（研发版）V1.0.2.1
13:55:02:  20210113
13:55:12:  K64_0000_20210113135444.log - DRB.tat* - TextAnalysisTool.NET
13:55:52:  CRS调测工具（研发版）V1.0.2.1
13:57:07:  20210113
13:57:12:  Decode
13:57:17:  Box_3__0000_20210113135607.log - DRB.tat* - TextAnalysisTool.NET
13:57:32:  20210113
13:57:37:  取款
13:57:42:  CRS调测工具（研发版）V1.0.2.1
13:58:02:  20210113
13:58:12:  CRS调测工具（研发版）V1.0.2.1
13:58:17:  20210113
13:58:27:  LOG
13:58:32:  Box_3__0000_20210113135739.log - DRB.tat* - TextAnalysisTool.NET
13:59:07:  K64-_0000_20210113135739.log - DRB.tat* - TextAnalysisTool.NET
13:58:12:  CRS调测工具（研发版）V1.0.2.1
13:58:17:  20210113
13:58:27:  LOG
13:58:32:  Box_3__0000_20210113135739.log - DRB.tat* - TextAnalysisTool.NET
13:59:07:  K64-_0000_20210113135739.log - DRB.tat* - TextAnalysisTool.NET
14:00:17:  锁屏状态
14:00:22:  CRS调测工具（研发版）V1.0.2.1
14:00:32:  20210113
14:01:02:  CRS调测工具（研发版）V1.0.2.1
14:01:12:  查找
14:01:17:  CRS调测工具（研发版）V1.0.2.1
14:01:22:  查找
14:01:27:  20210113
14:01:32:  Decode
14:01:37:  Box_3__0000_20210113140020.log - DRB.tat* - TextAnalysisTool.NET
14:02:22:  锁屏状态
14:02:27:  K64-_0000_20210113140020.log - DRB.tat* - TextAnalysisTool.NET
14:02:47:  E:\深圳出差\gfgd\Applications\CanComm\CashBoxComm\CashBoxComm.c (gfgd) - Sublime Text (UNREGISTERED)
14:02:52:  E:\深圳出差\gfgd\Applications\FlowControl\ComponentCtrl\ComponentCtrl.c (gfgd) - Sublime Text (UNREGISTERED)
14:03:02:  K64-_0000_20210113140020.log - DRB.tat* - TextAnalysisTool.NET
14:03:07:  E:\深圳出差\gfgd\Applications\FlowControl\ComponentCtrl\ComponentCtrl.c (gfgd) - Sublime Text (UNREGISTERED)
14:03:17:  E:\深圳出差\gfgd\Project\k64_rtt.uvprojx - μVision
14:03:27:  gfgd
14:03:32:  E:\深圳出差\gfgd\Tools\CreateJK.exe
14:03:37:  Tools
14:03:42:  打开
14:03:47:  CRS调测工具（研发版）V1.0.2.1
14:04:07:  锁屏状态
14:04:13:  CRS调测工具（研发版）V1.0.2.1
14:06:28:  20210113
14:06:33:  回收
14:06:38:  20210113
14:06:48:  C:\Users\zhangkaifa\Documents\Class-Log-C1.exe
14:06:53:  K64-_0000_20210113140020.log - DRB.tat* - TextAnalysisTool.NET
14:06:58:  Box_3__0000_20210113140555.log - DRB.tat* - TextAnalysisTool.NET
14:07:13:  K64-_0000_20210113140555.log - DRB.tat* - TextAnalysisTool.NET
14:07:28:  CRS调测工具（研发版）V1.0.2.1
14:08:08:  Decode
14:08:13:  Box_3__0000_20210113140728.log - DRB.tat* - TextAnalysisTool.NET
14:08:18:  K64-_0000_20210113140728.log - DRB.tat* - TextAnalysisTool.NET
14:09:03:  CRS调测工具（研发版）V1.0.2.1
14:09:13:  K64-_0000_20210113140728.log - DRB.tat* - TextAnalysisTool.NET
14:10:18:  K64_0000_20210113140728
14:10:23:  E:\深圳出差\gfgd\Project\k64_rtt.uvprojx - μVision
14:10:28:  K64-_0000_20210113140728.log - DRB.tat* - TextAnalysisTool.NET
14:10:58:  E:\深圳出差\gfgd\Applications\FlowControl\ComponentCtrl\ComponentCtrl.c (gfgd) - Sublime Text (UNREGISTERED)
14:11:18:  E:\深圳出差\gfgd\Applications\CanComm\CashBoxComm\CashBoxComm.c (gfgd) - Sublime Text (UNREGISTERED)
14:11:43:  E:\深圳出差\gfgd\Applications\FlowControl\ComponentCtrl\ComponentStatus.h (gfgd) - Sublime Text (UNREGISTERED)
14:11:48:  E:\深圳出差\gfgd\Applications\CanComm\CashBoxComm\CashBoxComm.c (gfgd) - Sublime Text (UNREGISTERED)
14:11:53:  K64-_0000_20210113140728.log - DRB.tat* - TextAnalysisTool.NET
14:12:08:  E:\深圳出差\gfgd\Applications\CanComm\CashBoxComm\CashBoxComm.c (gfgd) - Sublime Text (UNREGISTERED)
14:12:13:  K64-_0000_20210113140728.log - DRB.tat* - TextAnalysisTool.NET
14:12:33:  E:\深圳出差\gfgd\Applications\CanComm\CanComm.c (gfgd) - Sublime Text (UNREGISTERED)
14:12:58:  E:\深圳出差\gfgd\Rtos\OSLib.c (gfgd) - Sublime Text (UNREGISTERED)
14:13:03:  E:\深圳出差\gfgd\Applications\CanComm\CanComm.c (gfgd) - Sublime Text (UNREGISTERED)
14:13:13:  E:\深圳出差\gfgd\Applications\CanComm\CashBoxComm\CashBoxComm.c (gfgd) - Sublime Text (UNREGISTERED)
14:13:18:  K64-_0000_20210113140728.log - DRB.tat* - TextAnalysisTool.NET
14:13:23:  E:\深圳出差\gfgd\Applications\CanComm\CashBoxComm\CashBoxComm.c (gfgd) - Sublime Text (UNREGISTERED)
14:13:28:  E:\深圳出差\gfgd\Applications\FlowControl\ComponentCtrl\ComponentStatus.h (gfgd) - Sublime Text (UNREGISTERED)
14:13:43:  E:\深圳出差\gfgd\Applications\CanComm\CashBoxComm\CashBoxComm.c (gfgd) - Sublime Text (UNREGISTERED)
14:14:03:  E:\深圳出差\gfgd\Applications\FlowControl\ComponentCtrl\ComponentCtrl.c (gfgd) - Sublime Text (UNREGISTERED)
14:14:43:  E:\深圳出差\gfgd\Applications\FlowControl\ComponentCtrl\ComponentCtrl.c • (gfgd) - Sublime Text (UNREGISTERED)
14:14:48:  E:\深圳出差\gfgd\Applications\FlowControl\ComponentCtrl\ComponentCtrl.c (gfgd) - Sublime Text (UNREGISTERED)
14:15:03:  E:\深圳出差\gfgd\Applications\FlowControl\ComponentCtrl\ComponentStatus.c (gfgd) - Sublime Text (UNREGISTERED)
14:14:43:  E:\深圳出差\gfgd\Applications\FlowControl\ComponentCtrl\ComponentCtrl.c • (gfgd) - Sublime Text (UNREGISTERED)
14:14:48:  E:\深圳出差\gfgd\Applications\FlowControl\ComponentCtrl\ComponentCtrl.c (gfgd) - Sublime Text (UNREGISTERED)
