13:43:04:  eSpace
13:43:14:  于斌1
13:44:09:  E:\深圳出差\gfgd\Applications\InstrExplain\InstrProc1D.c (gfgd) - Sublime Text (UNREGISTERED)
13:44:29:  E:\深圳出差\gfgd\Applications\FlowControl\TrackModule\CashBoxModuleApp.c (gfgd) - Sublime Text (UNREGISTERED)
13:44:49:  锁屏状态
13:44:54:  计算器
13:44:09:  E:\深圳出差\gfgd\Applications\InstrExplain\InstrProc1D.c (gfgd) - Sublime Text (UNREGISTERED)
13:44:29:  E:\深圳出差\gfgd\Applications\FlowControl\TrackModule\CashBoxModuleApp.c (gfgd) - Sublime Text (UNREGISTERED)
13:44:49:  锁屏状态
13:44:54:  计算器
13:45:09:  本地磁盘 (D:)
13:45:14:  删除文件夹
13:45:24:  新建文件夹 (2)
13:45:29:  K64_0000_20201207133255.log - DRB.tat* - TextAnalysisTool.NET
13:45:34:  计算器
13:45:44:  E:\深圳出差\gfgd\Applications\ErrorHandle\ErrCode.h (gfgd) - Sublime Text (UNREGISTERED)
13:45:49:  E:\深圳出差\gfgd\Applications\FlowControl\TrackModule\GateModule.c (gfgd) - Sublime Text (UNREGISTERED)
13:46:29:  K64_0000_20201207133255.log - DRB.tat* - TextAnalysisTool.NET
13:46:34:  新建文件夹 (2)
13:46:44:  Decode
13:46:59:  K64_0000_20201207132951.log - DRB.tat* - TextAnalysisTool.NET
13:47:34:  Decode
13:48:09:  K64_0000_20201207133255.log - DRB.tat* - TextAnalysisTool.NET
13:48:14:  Decode
13:48:29:  K64_0000_20201207133255.log - DRB.tat* - TextAnalysisTool.NET
13:48:34:  K64_0000_20201207132951.log - DRB.tat* - TextAnalysisTool.NET
13:49:09:  桌面整理
13:49:14:  20180613 TCR内部指令手册_V001.xlsx - Excel
13:49:29:  BNE-R1200M_固件集成测试方案_V100.xls  [兼容模式] - Excel
13:49:34:  Add Filter
13:49:44:  K64_0000_20201207132951.log - DRB.tat* - TextAnalysisTool.NET
13:49:59:  Edit Filter
