07:56:45:  刘茂林
10:49:37:  Box_4__0000_20210303104851.log - DRB.tat* - TextAnalysisTool.NET
10:50:47:  锁屏状态
10:50:57:  Box_4__0000_20210303104851.log - DRB.tat* - TextAnalysisTool.NET
10:53:32:  钞箱配置
10:53:37:  TCR调测工具 V3.36
10:55:03:  eSpace
10:55:08:  K64_0000_20210303104851
10:55:13:  K64-_0000_20210303104851.log - DRB.tat* - TextAnalysisTool.NET
10:55:18:  Edit Filter
10:55:23:  K64-_0000_20210303104851.log - DRB.tat* - TextAnalysisTool.NET
10:55:28:  Edit Filter
10:55:38:  K64-_0000_20210303104851.log - DRB.tat* - TextAnalysisTool.NET
10:55:48:  TCRTestLog_2021-03-03_000
10:55:53:  Decode
10:56:08:  fenxi
10:59:26:  K18_0000_20210303105733,K64_0000_20210303105551,K64_0000_20210303105733
10:59:31:  fenxi
10:59:36:  Decode
10:59:41:  K64_0000_20210303105733.log - DRB.tat* - TextAnalysisTool.NET
10:59:26:  K18_0000_20210303105733,K64_0000_20210303105551,K64_0000_20210303105733
10:59:31:  fenxi
10:59:36:  Decode
10:59:41:  K64_0000_20210303105733.log - DRB.tat* - TextAnalysisTool.NET
11:00:16:  K64_0000_20210303105551.log - DRB.tat* - TextAnalysisTool.NET
11:00:21:  Edit Filter
11:00:26:  K64_0000_20210303105551.log - DRB.tat* - TextAnalysisTool.NET
11:00:36:  颜晓军
11:00:46:  K64_0000_20210303105551.log - DRB.tat* - TextAnalysisTool.NET
11:01:06:  Edit Filter
11:01:10:  K64_0000_20210303105551.log - DRB.tat* - TextAnalysisTool.NET
11:01:15:  颜晓军
11:01:20:  K64_0000_20210303105551.log - DRB.tat* - TextAnalysisTool.NET
11:01:30:  K64_0000_20210303105733.log - DRB.tat* - TextAnalysisTool.NET
11:01:35:  颜晓军
11:21:49:  K64_0000_20210303105733.log - DRB.tat* - TextAnalysisTool.NET
11:21:59:  TCR调测工具 V3.36
11:22:04:  发送指令到K06
11:22:09:  TCR调测工具 V3.36
11:22:14:  发送指令到K06
